kana,romaji,meaning
べんり,benri,"convenient, handy"
ぼうし,boushi,hat; cap
ボールペン,boorupen,ball-point pen
ほか,hoka,"other, the rest"
ポケット,poketto,pocket
ほしい,hoshii,"to want, in need of"
ポスト,posuto,"mailbox; post, position"
ほそい,hosoi,"thin, slender, fine"
ボタン,botan,button
ホテル,hoteru,hotel
ほん,hon,book
ほんだな,hondana,bookshelf
ほんとう,hontou,"real, true"
まいあさ,maiasa,every morning
まいげつ,maigetsu,every month
まいしゅう,maishuu,every week
まいにち,mainichi,every day
まいねん,mainen,every year
まいばん,maiban,every night
まえ,mae,"before, in front"
まがる,magaru,"to turn, to bend"
まずい,mazui,"terrible (in reference to food), unappetizing, unpleasant (taste)"
また,mata,and; furthermore
まだ,mada,"yet, still, besides"
まち,machi,town; city
まつ,matsu,to wait
まっすぐ,massugu,"straight (ahead), direct"
マッチ,macchi,match
まど,mado,window
まるい,marui,"round, circular"
まん,man,ten thousand
まんねんひつ,mannenhitsu,fountain pen
みがく,migaku,to brush (teeth); to polish
みぎ,migi,right hand side
みじかい,mijikai,short (length)
みず,mizu,water
みせ,mise,"store, shop"
みせる,miseru,"to show, to display"
みち,michi,"road, street; way, directions"
みっか,mikka,"three days, third day of the month"
みっつ,mittsu,three things
みどり,midori,green
みなさん,minasan,"all of you, everyone"
みなみ,minami,South
みみ,mimi,ear
みる,miru,"to see, to look"
みんな,minna,"all, everyone, everybody"
むいか,muika,six days; sixth day of month
むこう,mukou,"beyond, over there"
むずかしい,muzukashii,difficult
むっつ,muttsu,six things
むら,mura,village
め,me,eye(s)
メートル,meetoru,meter
めがね,megane,eye glasses
もう,mou,already; again; more
もくようび,mokuyoubi,Thursday
もしもし,moshimoshi,Hello? (used on the phone)
もつ,motsu,"to hold, to carry; to possess"
もっと,motto,more
もの,mono,thing (concrete object)
もん,mon,gate
もんだい,mondai,a problem
やおや,yaoya,greengrocer
やさい,yasai,vegetable
やさしい,yasashii,"easy, plain, simple"
やすい,yasui,inexpensive; cheap (things)
やすみ,yasumi,holiday; day off; absence
やすむ,yasumu,"to rest, to have a break, to get time off"
やっつ,yattsu,eight things
やま,yama,mountain
やる,yaru,"to do; to give (to pets, parents, siblings, etc.)"
ゆうがた,yuugata,"late afternoon (typically just before dinner time), evening"
ゆうはん,yuuhan,"dinner, supper, evening meal"
ゆうびんきょく,yuubinkyoku,post office
ゆうべ,yuube,last night
ゆうめい,yuumei,famous
ゆき,yuki,snow
ゆっくりと,yukkurito,"slowly, at ease"
ようか,youka,eight days; eighth day of the month
ようふく,youfuku,Western-style clothes
よく,yoku,"frequently, often (much); well, skillfully"
よこ,yoko,beside; side; width
よっか,yokka,four days; fourth day of the month
よっつ,yottsu,four things
よぶ,yobu,to call (one's name); to invite
よむ,yomu,to read
よる,yoru,"evening, night"
よわい,yowai,weak
らいげつ,raigetsu,next month
らいしゅう,raishuu,next week
らいねん,rainen,next year
ラジオ,rajio,radio
ラジオカセ,rajiokase,radio cassette player
りっぱ,rippa,"splendid, fine"
りゅうがくせい,ryuugakusei,international student
